CASEID,V102,V106,V113
10020058304,0,1,1
10020055402,0,3,1
10020226303,0,2,1
10020229404,0,2,1
10020164002,0,3,1
10020160702,0,1,1
10020166504,0,1,1
10020161904,0,3,1
10020166202,0,1,1
10020162202,0,3,1
10020160403,0,1,1
10020160403,0,1,1
10020119104,0,1,1
10020113203,0,2,1
10020116204,0,1,1
10020116802,0,2,1
10020119202,0,2,1
10020111402,0,1,1
10020111402,0,1,1
10020111302,0,1,1
10020111302,0,1,1
10020113004,0,1,1
10020113007,0,2,1
10020111204,0,1,1
10020324604,0,1,1
10020325304,0,3,1
10020321902,0,1,1
10020124304,0,2,1
10020123702,0,1,0
10020126502,0,1,1
10020129202,0,1,0
10020127304,0,3,1
10020147104,0,2,1
10020141302,0,1,1
10020148903,0,1,1
10020145304,0,2,1
10020149604,0,2,1
10020144404,0,1,1
10020144404,0,1,1
10020144903,0,1,1
10020145104,0,1,1
10020333404,0,1,1
10020331704,0,2,1
10020041002,0,3,1
10020044202,0,1,1
10020044506,0,1,1
10020049603,0,3,1
10020033403,0,1,1
10020031202,0,0,1
10020033202,0,1,1
10020031602,0,1,1
10020035304,0,1,1
10020039404,0,1,1
10020036404,0,1,1
10020037102,0,3,1
10020037102,0,3,1
10020036904,0,1,1
10020084404,0,2,1
10020088002,0,1,0
10020081604,0,1,1
10020085902,0,1,0
10020426604,0,3,1
10020420502,0,3,1
10020423004,0,1,1
10020429602,0,3,1
10020429602,0,3,1
10020425804,0,3,1
10020429104,0,3,1
10020423402,0,1,0
10020423402,0,1,0
10020425502,0,3,1
10020427502,0,1,1
10020428902,0,3,1
10020425304,0,1,1
10020427704,0,3,1
10020285102,0,1,1
10020281902,0,0,1
10020289102,0,1,1
10020287902,0,0,1
10020287302,0,1,1
10020108105,0,2,1
10020103002,0,2,0
10020103002,0,2,0
10020109702,0,3,0
10020101402,0,1,0
10020241702,0,3,0
10020246304,0,3,0
10020249402,0,3,0
10020239002,0,1,1
10020239002,0,1,1
10020235004,0,1,1
10020236904,0,1,1
10020236302,0,1,1
10020236302,0,1,1
10020392404,0,3,1
10020390504,0,1,1
10020396909,0,1,1
10020397204,0,1,1
10020395303,0,1,1
10020390402,0,1,1
10020188802,0,2,1
10020182503,0,1,1
10020182304,0,1,1
10020185502,0,1,1
10020185502,0,1,1
10020183804,0,1,1
10020187302,0,1,1
10020188002,0,3,1
10020183904,0,0,1
10020197702,0,1,1
10020197702,0,1,1
10020198602,0,1,1
10020196104,0,3,1
10020192402,0,1,1
10020192402,0,1,1
10020383002,0,1,1
10020385402,0,1,1
10020386202,0,1,1
10020386202,0,1,1
10020385304,0,1,1
10020388302,0,3,1
10020383404,0,1,1
10020383404,0,1,1
10020383104,0,3,1
10020172402,0,1,1
10020178004,0,1,1
10020173202,0,1,1
10020177902,0,1,1
10020177902,0,1,1
10020174204,0,1,1
10020417002,0,1,1
10020411802,0,3,0
10020411802,0,3,0
10020418602,0,1,0
10020413603,0,1,1
10020413603,0,1,1
10020410404,0,3,1
10020410404,0,3,1
10020257302,0,1,1
10020251002,0,1,1
10020253102,0,1,0
10020344303,0,1,1
10020353902,0,3,1
10020353902,0,3,1
10020357302,0,1,1
10020354802,0,3,1
10020355302,0,1,0
10020355302,0,1,0
10020350102,0,3,1
10020350102,0,3,1
10020359802,0,3,0
10020352102,0,3,1
10020352904,0,3,1
10020262602,1,1,1
10020263504,1,1,1
10020263508,1,1,1
10020267002,1,1,1
10020269209,1,2,1
10020267704,1,1,1
10020269402,1,1,1
10020368904,1,2,1
10020360202,1,1,1
10020360202,1,1,1
10020365402,1,1,1
10020205902,1,1,1
10020205902,1,1,1
10020206502,1,1,0
10020201404,1,0,0
10020204202,1,3,0
10020204202,1,3,0
10020209902,1,3,0
10020209902,1,3,0
10020206902,1,1,1
10020206902,1,1,1
10020013704,1,1,1
10020011405,1,1,1
10020011704,1,3,0
10020014602,1,1,1
10020154203,1,1,1
